Language,Bin,N,Real Mean,Random Mean,Gap,KS Stat,p-value,Sig
English,4–7,1668,2.25,3.13,0.88,0.386,0.0,True
English,8–11,1844,3.81,4.89,1.08,0.334,0.0,True
English,12–15,1777,4.91,6.22,1.31,0.325,0.0,True
English,16–20,1868,6.09,7.58,1.49,0.321,0.0,True
English,21+,3750,8.36,10.85,2.49,0.342,0.0,True
Hindi,4–7,251,2.67,3.66,0.99,0.382,0.0,True
Hindi,8–11,1447,4.22,4.99,0.77,0.26,0.0,True
Hindi,12–15,2507,5.58,6.33,0.74,0.201,0.0,True
Hindi,16–20,3061,6.87,7.66,0.79,0.181,0.0,True
Hindi,21+,6016,9.2,10.39,1.18,0.162,0.0,True
German,4–7,849,2.27,3.36,1.09,0.475,0.0,True
German,8–11,2316,3.49,4.87,1.38,0.456,0.0,True
German,12–15,2612,4.52,6.31,1.79,0.489,0.0,True
German,16–20,3007,5.42,7.64,2.22,0.525,0.0,True
German,21+,4946,7.27,10.46,3.19,0.488,0.0,True
Spanish,4–7,438,2.57,3.29,0.73,0.331,0.0,True
Spanish,8–11,1081,4.02,4.89,0.87,0.317,0.0,True
Spanish,12–15,1651,5.06,6.18,1.12,0.298,0.0,True
Spanish,16–20,2408,6.16,7.69,1.53,0.358,0.0,True
Spanish,21+,8574,9.12,11.57,2.45,0.304,0.0,True
Chinese,8–11,320,3.81,5.03,1.22,0.381,0.0,True
Chinese,12–15,608,4.61,6.31,1.7,0.457,0.0,True
Chinese,16–20,866,5.43,7.61,2.18,0.499,0.0,True
Chinese,21+,2195,7.19,11.12,3.94,0.544,0.0,True
Arabic,4–7,317,2.91,3.27,0.36,0.177,0.0001,True
Arabic,8–11,466,4.59,4.89,0.3,0.088,0.0542,False
Arabic,12–15,366,5.93,6.22,0.29,0.079,0.2009,False
Arabic,16–20,437,7.33,7.75,0.42,0.098,0.029,True
Arabic,21+,4265,11.96,13.78,1.82,0.156,0.0,True
Russian,4–7,9571,2.07,3.17,1.1,0.494,0.0,True
Russian,8–11,12147,3.38,4.85,1.47,0.465,0.0,True
Russian,12–15,11743,4.5,6.25,1.74,0.454,0.0,True
Russian,16–20,12143,5.55,7.63,2.08,0.46,0.0,True
Russian,21+,21863,7.66,10.54,2.87,0.416,0.0,True
Japanese,4–7,471,2.58,3.24,0.66,0.248,0.0,True
Japanese,8–11,838,4.53,4.8,0.27,0.117,0.0,True
Japanese,12–15,921,6.11,6.28,0.17,0.049,0.2217,False
Japanese,16–20,1149,7.57,7.64,0.07,0.051,0.0967,False
Japanese,21+,3632,11.14,11.4,0.26,0.028,0.1077,False
Turkish,4–7,1173,2.08,3.11,1.03,0.488,0.0,True
Turkish,8–11,794,3.39,4.81,1.42,0.471,0.0,True
Turkish,12–15,456,4.34,6.28,1.94,0.515,0.0,True
Turkish,16–20,362,5.28,7.75,2.47,0.547,0.0,True
Turkish,21+,398,6.72,9.64,2.92,0.52,0.0,True
Basque,4–7,912,2.31,3.29,0.98,0.371,0.0,True
Basque,8–11,1440,3.53,4.84,1.31,0.426,0.0,True
Basque,12–15,1239,4.41,6.21,1.79,0.485,0.0,True
Basque,16–20,1013,5.15,7.76,2.61,0.597,0.0,True
Basque,21+,761,6.33,9.64,3.3,0.589,0.0,True
